,Quarter_Year,EPS_Spread,Trend_Spread
0,Q1_2020,-1.9200000000000002,-3.277000000000003
1,Q4_2019,0.25,-0.42100000000000093
2,Q3_2019,0.22999999999999998,-0.4710000000000023
3,Q2_2019,0.31999999999999984,-0.5530000000000032
4,Q1_2019,0.33000000000000007,0.7329999999999999
5,Q4_2018,-0.2200000000000002,0.43599999999999856
6,Q3_2018,0.09999999999999964,2.2600000000000007
7,Q2_2018,0.06999999999999984,0.33200000000000185
8,Q1_2018,0.0900000000000003,-0.6829999999999996
9,Q4_2017,0.07000000000000006,-0.5079999999999983
10,Q3_2017,0.09000000000000008,0.6050000000000013
11,Q2_2017,0.22999999999999998,-0.01100000000000001
12,Q1_2017,0.1299999999999999,0.35099999999999776
13,Q4_2016,0.29000000000000004,-0.7449999999999974
14,Q3_2016,0.19000000000000017,0.39100000000000246
15,Q2_2016,0.1200000000000001,-0.723000000000002
16,Q1_2016,0.09000000000000008,0.09200000000000014
17,Q4_2015,0.07000000000000006,-0.1610000000000007
18,Q3_2015,-0.050000000000000044,0.4640000000000001
19,Q2_2015,0.10000000000000009,-0.37400000000000094
20,Q1_2015,0.06000000000000005,-0.40599999999999875
21,Q4_2014,-0.1100000000000001,0.08999999999999908
22,Q3_2014,-0.029999999999999805,0.20500000000000104
23,Q2_2014,0.15999999999999992,-0.13800000000000023
24,Q1_2014,-0.1299999999999999,0.46900000000000047
25,Q4_2013,0.08999999999999986,0.1099999999999988
26,Q3_2013,0.1499999999999999,0.6070000000000001
27,Q2_2013,0.15000000000000013,0.0750000000000007
28,Q1_2013,0.2100000000000002,-0.9350000000000012
29,Q4_2012,0.22999999999999998,-0.25700000000000145
30,Q3_2012,0.22999999999999998,0.2829999999999992
31,Q2_2012,0.45999999999999996,-0.4260000000000007
32,Q1_2012,0.16000000000000014,-0.11400000000000002
33,Q4_2011,-0.020000000000000018,0.055999999999999495
34,Q3_2011,0.08999999999999997,-0.09600000000000031
35,Q2_2011,0.07000000000000006,0.638000000000001
36,Q1_2011,0.1200000000000001,-0.16697999999999963
37,Q4_2010,0.13000000000000012,-0.21700000000000014
38,Q3_2010,0.09999999999999998,-0.6030000000000002
39,Q2_2010,0.3800000000000001,-0.9460000000000002
40,Q1_2010,0.10999999999999999,-0.7599999999999988
41,Q4_2009,0.14,-1.1520000000000004
42,Q3_2009,0.31000000000000005,-0.41399999999999787
43,Q2_2009,0.22000000000000003,-0.6190000000000011
44,Q1_2009,0.09000000000000002,-1.162000000000001
45,Q4_2008,-0.44,-0.0430000000000004
46,Q3_2008,0.25,-0.5460000000000014
47,Q2_2008,0.09999999999999998,0.24400000000000016
