,word,count,expected_zipf
0,quarter,2346,2346.0
1,think,2083,1173.0
2,going,1815,782.0
3,billion,1787,586.5
4,would,1646,469.2
5,year,1635,391.0
6,million,1278,335.14285714285717
7,see,1216,293.25
8,business,1050,260.6666666666667
9,little,842,234.6
10,good,817,213.27272727272728
11,growth,809,195.5
12,credit,809,180.46153846153845
13,net,784,167.57142857142858
14,last,768,156.4
15,lot,750,146.625
16,like,745,138.0
17,higher,741,130.33333333333334
18,look,739,123.47368421052632
19,obviously,729,117.3
20,capital,718,111.71428571428571
21,revenue,716,106.63636363636364
22,one,695,102.0
23,continue,670,97.75
24,say,667,93.84
25,know,666,90.23076923076923
26,strong,654,86.88888888888889
27,expect,651,83.78571428571429
28,get,649,80.89655172413794
29,first,634,78.2
